time/ s,20.0
IS_retention_time/ min,IS_integral,IS_peak start/ min,IS_peak end/ min,peak height/  signal/ total ion counts
6.721583333333333,2936.974557136471,6.698333333333333,6.7897083333333335,150710.68016391562,
Retention_time/ min,integral,peak start/ min,peak end/ min,peak height/  signal/ total ion counts
7.658791666666667,899.1771046112947,7.633875,7.73525,51168.91164314403,
7.8149999999999995,7512.061467707409,7.776791666666666,7.876500000000001,324560.3998772899,
8.002791666666667,1880.487634600246,7.976208333333333,8.067583333333333,94208.01487003676,
8.0975,2166.473659556703,8.067583333333333,8.168958333333332,113535.26146482117,
10.397333333333332,2639.774089182789,10.352458333333333,10.488708333333333,88378.87480650282,
10.688124999999998,9430.244891548868,10.631625000000001,10.741291666666667,239969.89921431715,
10.854291666666667,1416.328100321955,10.81275,10.980583333333334,49328.20871951495,
13.260458333333332,9115.497118486841,13.189,13.312,186213.9079276432,
13.5795,7887.168723986687,13.508083333333333,13.66425,169741.99621426692,
