time/ s,30.0
IS_retention_time/ min,IS_integral,IS_peak start/ min,IS_peak end/ min,peak height/  signal/ total ion counts
6.723083333333333,2952.2099888717817,6.698166666666666,6.746333333333333,152960.12342341372,
Retention_time/ min,integral,peak start/ min,peak end/ min,peak height/  signal/ total ion counts
7.8165,7402.015557730219,7.776625,7.843083333333333,313415.21342674794,
8.002625,1637.9072828305332,7.976,8.06575,82732.64630683298,
8.099,1927.4986771183987,8.06575,8.170458333333332,99566.34370170283,
10.397124999999999,2469.14887578814,10.352291666666666,10.452,83281.24178467349,
10.684625,8953.973987352038,10.631458333333333,10.722833333333332,233069.69195975142,
10.852458333333333,1441.4942310745437,10.810916666666666,10.894,51088.5897725124,
13.258625,9342.694500272119,13.187166666666666,13.311791666666666,181583.95964394507,
13.575999999999999,7690.051387447227,13.507875,13.647458333333333,160343.16825096688,
