time/ s,30.0
IS_retention_time/ min,IS_integral,IS_peak start/ min,IS_peak end/ min
6.721416666666666,2952.209988871781,6.694833333333333,6.746333333333333
Retention_time/ min,integral,peak start/ min,peak end/ min
6.721416666666666,2952.209988871781,6.694833333333333,6.746333333333333
7.8181666666666665,7402.015557730219,7.776625,7.846416666666666
8.000958333333333,1636.8632312614704,7.976,8.027541666666666
8.097333333333333,1926.1452413128027,8.067416666666666,8.128916666666667
10.397124999999999,2474.537232395856,10.348958333333332,10.433708333333334
10.684625,8975.971334515969,10.629791666666666,10.722833333333332
10.854125,1441.0599085813192,10.81425,10.887375
13.253625,5524.082323840954,13.188833333333333,13.256958333333333
13.260291666666665,4419.896651945436,13.253625,13.305166666666667
13.574333333333334,7676.633663221677,13.509541666666665,13.624208333333334
