time/ min, signal/ total ion counts
3.012625,0.0
3.0142916666666664,0.0
3.0159583333333333,724.2513724538967
3.017625,0.0
3.0192916666666667,0.0
3.0209166666666665,540.9980450156418
3.022583333333334,0.0
3.02425,0.0
3.0259166666666664,0.0
3.0275833333333333,0.0
3.0292499999999998,0.0
3.0309166666666667,0.0
3.032583333333333,0.0
3.03425,0.0
3.035875,0.0
3.0375416666666664,0.0
3.0392083333333333,0.0
3.0408749999999998,0.0
3.0425416666666667,0.0
3.044208333333333,0.0
3.045875,0.0
3.0475416666666666,0.0
3.0491666666666664,0.0
3.0508333333333337,0.0
3.0524999999999998,0.0
3.0541666666666667,0.0
3.055833333333333,0.0
3.0575,0.0
3.0591666666666666,0.0
3.060833333333333,0.0
3.0624583333333333,0.0
3.0641249999999998,0.0
3.0657916666666667,0.0
3.067458333333333,0.0
3.069125,0.0
3.0707916666666666,0.0
3.072458333333333,0.0
3.074125,0.0
3.0757916666666665,0.0
3.0774166666666667,0.0
3.0790833333333336,0.0
3.08075,1764.7416874133019
3.0824166666666666,3149.223646828244
3.084083333333333,4494.055654645495
3.08575,6321.978955322084
3.0874166666666665,8354.750330167142
3.0890833333333334,10668.233525510188
3.09075,11803.51625841065
3.092375,12769.888096226463
3.0940416666666666,13280.562648131858
3.095708333333333,12574.22260623792
3.097375,11997.220472713849
3.0990416666666665,10208.060591208137
3.100708333333334,7699.100753127419
3.102375,5653.716845940537
3.1040416666666664,3079.6691057434164
3.1056666666666666,2524.997783110095
3.1073333333333335,1469.0666209952196
3.109,0.0
3.1106666666666665,0.0
3.1123333333333334,637.1781716417981
3.114,632.7939931833566
3.1156666666666664,1775.670897887936
3.1173333333333333,4029.8651757217967
3.118958333333333,5305.59247737781
3.120625,6979.640249594673
3.1222916666666665,8812.613514792094
3.1239583333333334,10536.593287999032
3.125625,12150.859486841673
3.1272916666666664,11621.616270981374
3.1289583333333337,10640.623983314024
3.1306249999999998,8838.333821790537
3.13225,7986.527470169587
3.1339166666666665,6005.517573466402
3.1355833333333334,4524.120891966293
3.13725,2870.5766384718963
3.1389166666666664,1516.7497976696295
3.1405833333333333,570.6151707848676
3.1422499999999998,0.0
3.1439166666666667,0.0
3.145583333333333,0.0
3.1472083333333334,0.0
3.148875,0.0
3.1505416666666664,0.0
3.1522083333333333,0.0
