time/ s,10.0
IS_retention_time/ min,IS_integral,IS_peak start/ min,IS_peak end/ min
6.720083333333333,2916.542150534775,6.693499999999999,6.745
Retention_time/ min,integral,peak start/ min,peak end/ min
6.720083333333333,2916.542150534775,6.693499999999999,6.745
7.815166666666666,7370.015594531864,7.775291666666666,7.838458333333333
7.999625,1778.7391166925327,7.973041666666666,8.027875
8.096,2056.209856477826,8.064416666666666,8.132583333333333
10.394166666666667,2442.186956526551,10.347624999999999,10.430708333333333
10.683291666666666,8961.263595059678,10.628458333333333,10.721541666666667
10.849458333333333,1435.204412442116,10.81125,10.886041666666666
13.255666666666666,8715.604160944478,13.1875,13.303833333333333
13.571375,7180.27436541302,13.506583333333333,13.627875
