# time, signal
3.014874999999999527e+00,0.000000000000000000e+00
3.016541666666666455e+00,3.889924718225393008e+01
3.018166666666666664e+00,1.365307989773828012e+02
3.019833333333333147e+00,0.000000000000000000e+00
3.021500000000000075e+00,6.608368676307145506e+01
3.023166666666666558e+00,0.000000000000000000e+00
3.024833333333333041e+00,0.000000000000000000e+00
3.026499999999999968e+00,0.000000000000000000e+00
3.028166666666666451e+00,0.000000000000000000e+00
3.029833333333333378e+00,5.113270817704142246e+01
3.031499999999999861e+00,0.000000000000000000e+00
3.033125000000000071e+00,1.306759199866501149e+02
3.034791666666666554e+00,2.499375746795731175e+02
3.036458333333333037e+00,0.000000000000000000e+00
3.038124999999999964e+00,0.000000000000000000e+00
3.039791666666666448e+00,0.000000000000000000e+00
3.041458333333333375e+00,7.656962651169214951e+01
3.043124999999999414e+00,5.533550206447462187e+02
3.044791666666666785e+00,1.207818147117477565e+02
3.046416666666666551e+00,1.327584839231340084e+02
3.048083333333333034e+00,6.152607055730186403e+01
3.049749999999999961e+00,0.000000000000000000e+00
3.051416666666666444e+00,6.258107417481351149e+02
3.053083333333333371e+00,1.630724791107668352e+02
3.054749999999999854e+00,4.025886399531100324e+01
3.056416666666666782e+00,0.000000000000000000e+00
3.058083333333333265e+00,1.101420705771615758e+02
3.059708333333333030e+00,0.000000000000000000e+00
3.061374999999999957e+00,0.000000000000000000e+00
3.063041666666666440e+00,0.000000000000000000e+00
3.064708333333333368e+00,0.000000000000000000e+00
3.066374999999999851e+00,5.411935531042490766e+01
3.068041666666666778e+00,0.000000000000000000e+00
3.069708333333333261e+00,0.000000000000000000e+00
3.071374999999999300e+00,0.000000000000000000e+00
3.072999999999999954e+00,0.000000000000000000e+00
3.074666666666666437e+00,1.104206013951697969e+02
3.076333333333333364e+00,0.000000000000000000e+00
3.077999999999999847e+00,0.000000000000000000e+00
3.079666666666666774e+00,0.000000000000000000e+00
3.081333333333333258e+00,0.000000000000000000e+00
3.082999999999999741e+00,0.000000000000000000e+00
3.084666666666666668e+00,0.000000000000000000e+00
3.086333333333333151e+00,4.975848970566494245e+01
3.088000000000000078e+00,0.000000000000000000e+00
3.089624999999999844e+00,3.442226727033457792e+02
3.091291666666667215e+00,0.000000000000000000e+00
3.092958333333333254e+00,1.927553189940463199e+02
3.094624999999999737e+00,6.483230617426761455e+01
3.096291666666666664e+00,1.281783907293638549e+02
3.097958333333333147e+00,8.834539661425333179e+01
3.099625000000000075e+00,5.071783025529930455e+01
3.101291666666666558e+00,0.000000000000000000e+00
3.102916666666666767e+00,0.000000000000000000e+00
3.104583333333333250e+00,2.194450207601603324e+02
3.106249999999999734e+00,0.000000000000000000e+00
3.107916666666666661e+00,0.000000000000000000e+00
3.109583333333333144e+00,0.000000000000000000e+00
3.111250000000000071e+00,2.532662680292966400e+02
3.112916666666666554e+00,0.000000000000000000e+00
3.114583333333333037e+00,0.000000000000000000e+00
3.116208333333333247e+00,0.000000000000000000e+00
3.117874999999999730e+00,0.000000000000000000e+00
3.119541666666667101e+00,6.339560533515850693e+01
3.121208333333333140e+00,0.000000000000000000e+00
3.122875000000000068e+00,0.000000000000000000e+00
3.124541666666666551e+00,0.000000000000000000e+00
3.126208333333333034e+00,0.000000000000000000e+00
3.127874999999999961e+00,0.000000000000000000e+00
3.129499999999999726e+00,0.000000000000000000e+00
3.131166666666666654e+00,0.000000000000000000e+00
3.132833333333333137e+00,0.000000000000000000e+00
3.134500000000000064e+00,3.077218883892728627e+02
3.136166666666666547e+00,3.569862243311827115e+02
3.137833333333333030e+00,6.957231066103395278e+01
3.139499999999999957e+00,0.000000000000000000e+00
3.141166666666666440e+00,0.000000000000000000e+00
3.142833333333333368e+00,5.350738450665357959e+01
3.144499999999999851e+00,0.000000000000000000e+00
3.146125000000000060e+00,0.000000000000000000e+00
3.147791666666666988e+00,0.000000000000000000e+00
3.149458333333333027e+00,0.000000000000000000e+00
3.151124999999999954e+00,0.000000000000000000e+00
3.152791666666666437e+00,1.618713184459238619e+02
3.154458333333333364e+00,8.515450697530468460e+01
3.156124999999999847e+00,0.000000000000000000e+00
3.157791666666666774e+00,9.311701742764489609e+01
3.159416666666666540e+00,4.105302798704360612e+01
3.161083333333333023e+00,7.412286821705129114e+01
3.162749999999999950e+00,0.000000000000000000e+00
3.164416666666666433e+00,1.862092175365805815e+02
3.166083333333333361e+00,1.575405488175023493e+03
3.167749999999999844e+00,0.000000000000000000e+00
3.169416666666667215e+00,0.000000000000000000e+00
3.171083333333333254e+00,0.000000000000000000e+00
3.172708333333333020e+00,4.691222562230541371e+01
3.174374999999999947e+00,0.000000000000000000e+00
3.176041666666666874e+00,0.000000000000000000e+00
3.177708333333333357e+00,0.000000000000000000e+00
3.179374999999999840e+00,0.000000000000000000e+00
3.181041666666666767e+00,0.000000000000000000e+00
3.182708333333333250e+00,1.935125553507805307e+02
3.184374999999999734e+00,4.104884994723124692e+01
3.185999999999999943e+00,1.690618749378299981e+02
3.187666666666666426e+00,4.592598346494196448e+01
3.189333333333333353e+00,5.121049855689125252e+01
3.190999999999999837e+00,5.023411455482892052e+01
3.192666666666666764e+00,0.000000000000000000e+00
3.194333333333333247e+00,2.120751777264374141e+03
3.195999999999999730e+00,0.000000000000000000e+00
3.197666666666667101e+00,3.724051407589286100e+01
3.199333333333333140e+00,0.000000000000000000e+00
3.200958333333333350e+00,0.000000000000000000e+00
3.202624999999999833e+00,0.000000000000000000e+00
3.204291666666666760e+00,0.000000000000000000e+00
3.205958333333333243e+00,4.538269601995398261e+01
3.207624999999999726e+00,0.000000000000000000e+00
3.209291666666666654e+00,0.000000000000000000e+00
3.210958333333333137e+00,8.262824938231733540e+01
3.212625000000000064e+00,0.000000000000000000e+00
3.214249999999999829e+00,0.000000000000000000e+00
3.215916666666666757e+00,4.328001790904063455e+02
3.217583333333333240e+00,5.525973615771818004e+01
3.219249999999999723e+00,5.054196805135870818e+01
3.220916666666666650e+00,2.219585182394821459e+02
3.222583333333333133e+00,4.818076320598174789e+01
3.224250000000000060e+00,3.215221943772739905e+02
3.225916666666666988e+00,9.790407255020545563e+01
3.227583333333333027e+00,0.000000000000000000e+00
3.229208333333333236e+00,1.830618232629321938e+02
3.230874999999999719e+00,0.000000000000000000e+00
3.232541666666666647e+00,0.000000000000000000e+00
3.234208333333333130e+00,0.000000000000000000e+00
3.235875000000000057e+00,5.789232990887558117e+01
3.237541666666666540e+00,0.000000000000000000e+00
3.239208333333333023e+00,0.000000000000000000e+00
3.240833333333333233e+00,0.000000000000000000e+00
3.242499999999999716e+00,0.000000000000000000e+00
3.244166666666666643e+00,0.000000000000000000e+00
3.245833333333333126e+00,0.000000000000000000e+00
3.247500000000000053e+00,0.000000000000000000e+00
3.249166666666666536e+00,4.020536893482494634e+01
3.250833333333333020e+00,9.747048706524219597e+01
3.252499999999999947e+00,0.000000000000000000e+00
3.254166666666666874e+00,3.883971311591149060e+02
3.255833333333333357e+00,0.000000000000000000e+00
3.257458333333333123e+00,0.000000000000000000e+00
3.259125000000000050e+00,2.420168841604381669e+02
3.260791666666666533e+00,0.000000000000000000e+00
3.262458333333333016e+00,7.907710520134423859e+01
3.264124999999999943e+00,0.000000000000000000e+00
3.265791666666666426e+00,9.180626761803796398e+01
3.267458333333333353e+00,0.000000000000000000e+00
3.269124999999999837e+00,5.670241680690569410e+02
3.270750000000000046e+00,0.000000000000000000e+00
3.272416666666666529e+00,5.357077458340791054e+01
3.274083333333333012e+00,6.018805905800763867e+01
3.275749999999999940e+00,0.000000000000000000e+00
3.277416666666666423e+00,0.000000000000000000e+00
3.279083333333333350e+00,5.307075537075434113e+01
3.280749999999999833e+00,6.226595894021556887e+01
3.282416666666666760e+00,9.342566946710303455e+01
3.284041666666666526e+00,0.000000000000000000e+00
3.285708333333333009e+00,0.000000000000000000e+00
3.287374999999999936e+00,0.000000000000000000e+00
