time/ s,10.0
IS_retention_time/ min,IS_integral,IS_peak start/ min,IS_peak end/ min,peak height/  signal/ total ion counts
6.720083333333333,2916.542150534775,6.696833333333333,6.745,156239.61990914517,
Retention_time/ min,integral,peak start/ min,peak end/ min,peak height/  signal/ total ion counts
7.8134999999999994,7375.79066753462,7.773625,7.8882916666666665,315311.1887503802,
7.999625,1775.619826332935,7.974708333333333,8.047833333333333,93307.02740787064,
8.096,2056.2098564778257,8.062791666666666,8.2605,105636.424116883,
10.395833333333332,2438.641184408254,10.349291666666666,10.447333333333331,85395.67928708144,
10.681625,8939.897194873003,10.630125,10.744791666666666,232477.0715056465,
10.851125,1435.2044124421163,10.809583333333332,10.959166666666667,49171.6793923239,
13.254,8720.185068835517,13.185875,13.307166666666665,176401.15646492835,
13.573041666666667,7182.757189719099,13.504916666666666,13.631208333333332,159928.6750713707,
