time/ s,20.0
IS_retention_time/ min,IS_integral,IS_peak start/ min,IS_peak end/ min
6.719916666666666,2936.9745571364715,6.698333333333333,6.744833333333333
Retention_time/ min,integral,peak start/ min,peak end/ min
7.658791666666667,898.3287716932435,7.637208333333333,7.680416666666665
7.816666666666666,7503.813181055305,7.781791666666666,7.841583333333333
8.001125,1880.4876346002457,7.976208333333333,8.027708333333333
8.0975,2165.5940762233695,8.07425,8.124083333333333
10.397333333333332,2585.628931638918,10.36575,10.430541666666667
10.688124999999998,9380.859781864818,10.634958333333334,10.722999999999997
10.852625,1414.630962223713,10.819416666666667,10.885875
13.258791666666665,1218.0697838639019,13.2555,13.262125
13.262125,3556.0522420498623,13.258791666666665,13.305333333333333
13.576208333333334,1122.2858435965377,13.572875,13.5795
13.582833333333333,3014.2007732517427,13.5795,13.622708333333334
