Cluster_number,colour,colour_grayscale
1, #DDCC77 , #000000 
2,  #CC6677 , #282828 
3,  #E69F00 , #424242 
4,  #AA4499 , #5f5f5f 
5,  #117733 , #717171 
6,  #332288 , #838282 
7,  #88CCEE , #9b9b9b 
8,  #000000 , #b9b9b9 
9,  #882255 , #d7d7d7 
10,  #44AA99 ,#e9d8d5
